field,year,lift_date,party_raw,barrels,party,group
JUBILEE,2025,2025-01-04,GHANA NATIONAL PETROLEUM CORPORATION,953322.0,GNPC,GNPC AND STATE
JUBILEE,2025,2025-01-16,TGL AND PETROSA,957490.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2025,2025-01-29,KOSMOS ENERGY GHANA INVESTMENTS,959380.0,KOSMOS INVESTMENTS,KOSMOS
JUBILEE,2025,2025-02-10,TGL AND PETROSA,910438.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2025,2025-02-22,KOSMOS ENERGY GHANA HC,909020.0,KOSMOS HC,KOSMOS
JUBILEE,2025,2025-03-07,TGL AND PETROSA,906355.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2025,2025-03-21,GHANA GROUP,905549.0,GHANA GROUP,GNPC AND STATE
JUBILEE,2025,2025-04-22,KOSMOS ENERGY GHANA INVESTMENTS,949813.0,KOSMOS INVESTMENTS,KOSMOS
JUBILEE,2025,2025-05-09,TGL AND PETROSA,957055.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2025,2025-05-25,KOSMOS ENERGY HC,949624.0,KOSMOS HC,KOSMOS
JUBILEE,2025,2025-06-08,TGL AND PETROSA,906300.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2025,2025-06-22,GHANA GROUP,948319.0,GHANA GROUP,GNPC AND STATE
JUBILEE,2025,2025-07-09,KOSMOS ENERGY GHANA HC,953051.0,KOSMOS HC,KOSMOS
JUBILEE,2025,2025-07-24,TGL AND PETROSA,954049.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2025,2025-08-08,GNPC EXPLORATION & PRODUCTION COMPANY LTD,950378.0,GNPC EXPLORCO,GNPC AND STATE
JUBILEE,2025,2025-08-24,TGL AND PETROSA,908980.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2025,2025-09-07,KOSMOS ENERGY GHANA INVESTMENTS,951038.0,KOSMOS INVESTMENTS,KOSMOS
JUBILEE,2025,2025-09-21,GHANA GROUP,951146.0,GHANA GROUP,GNPC AND STATE
JUBILEE,2025,2025-10-07,TGL AND PETROSA,951415.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2025,2025-10-23,KOSMOS ENERGY GHANA HC,955513.0,KOSMOS HC,KOSMOS
JUBILEE,2025,2025-11-07,TGL AND PETROSA,953321.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2025,2025-11-23,KOSMOS ENERGY GHANA HC,952816.0,KOSMOS HC,KOSMOS
JUBILEE,2025,2025-12-10,GHANA NATIONAL PETROLEUM CORPORATION,955268.0,GNPC,GNPC AND STATE
JUBILEE,2025,2025-12-27,TGL AND PETROSA,950616.0,TULLOW AND PETROSA,TULLOW AND PETROSA
TEN,2025,2025-02-17,GNPC EXPLORATION AND PRODUCTION COMPANY LTD,994001.0,GNPC EXPLORCO,GNPC AND STATE
TEN,2025,2025-04-15,TGL & PETROSA,993993.0,TULLOW AND PETROSA,TULLOW AND PETROSA
TEN,2025,2025-06-17,KOSMOS ENERGY GHANA HC,994481.0,KOSMOS HC,KOSMOS
TEN,2025,2025-08-28,TGL & PETROSA,995446.0,TULLOW AND PETROSA,TULLOW AND PETROSA
TEN,2025,2025-10-16,GHANA NATIONAL PETROLEUM CORPORATION,993586.0,GNPC,GNPC AND STATE
TEN,2025,2025-12-17,TGL & PETROSA,939994.0,TULLOW AND PETROSA,TULLOW AND PETROSA
OCTP,2025,2025-01-19,GHANA NATIONAL PETROLEUM CORPORATION,949213.0,GNPC,GNPC AND STATE
OCTP,2025,2025-02-23,ENI GHANA E&P LTD,949491.0,ENI,ENI
OCTP,2025,2025-03-28,VITOL UPSTREAM GHANA LTD,946965.32,VITOL,VITOL
OCTP,2025,2025-05-09,ENI GHANA E&P LTD,949474.0,ENI,ENI
OCTP,2025,2025-06-20,GHANA NATIONAL PETROLEUM CORPORATION,920201.0,GNPC,GNPC AND STATE
OCTP,2025,2025-07-21,VITOL UPSTREAM GHANA LTD,949153.0,VITOL,VITOL
OCTP,2025,2025-08-28,ENI GHANA E&P LTD,996644.0,ENI,ENI
OCTP,2025,2025-10-10,ENI GHANA E&P LTD,996846.0,ENI,ENI
OCTP,2025,2025-11-11,VITOL UPSTREAM GHANA LTD,996825.0,VITOL,VITOL
OCTP,2025,2025-12-19,GHANA NATIONAL PETROLEUM CORPORATION,996638.0,GNPC,GNPC AND STATE
JUBILEE,2024,2024-01-08,GNPC,953719.0,GNPC,GNPC AND STATE
JUBILEE,2024,2024-01-19,Tullow Ghana Limited & PetroSA,956909.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-01-30,Kosmos Energy Ghana HC,958517.0,KOSMOS HC,KOSMOS
JUBILEE,2024,2024-02-10,Tullow Ghana Limited & PetroSA,956034.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-02-20,Kosmos Energy Ghana HC,957400.0,KOSMOS HC,KOSMOS
JUBILEE,2024,2024-03-02,GNPC,952482.0,GNPC,GNPC AND STATE
JUBILEE,2024,2024-03-11,Tullow Ghana Limited & PetroSA,954163.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-03-21,Kosmos Energy Ghana HC,953490.0,KOSMOS HC,KOSMOS
JUBILEE,2024,2024-03-31,Tullow Ghana Limited & PetroSA,954701.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-04-10,GNPC,955741.0,GNPC,GNPC AND STATE
JUBILEE,2024,2024-04-20,Kosmos Energy Ghana HC,956216.0,KOSMOS HC,KOSMOS
JUBILEE,2024,2024-05-01,TGL AND PETROSA,905004.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-05-11,Kosmos Energy Ghana Investments,948799.0,KOSMOS INVESTMENTS,KOSMOS
JUBILEE,2024,2024-05-31,Tullow Ghana Limited & PetroSA,955993.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-06-03,GNPC Exploration & Production Company Limited,951903.0,GNPC EXPLORCO,GNPC AND STATE
JUBILEE,2024,2024-06-14,Tullow Ghana Limited & PetroSA,957571.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-06-25,Kosmos Energy Ghana HC,954434.0,KOSMOS HC,KOSMOS
JUBILEE,2024,2024-07-07,GNPC,951853.0,GNPC,GNPC AND STATE
JUBILEE,2024,2024-07-17,Tullow Ghana Limited & PetroSA,953282.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-07-28,Kosmos Energy Ghana HC,956505.0,KOSMOS HC,KOSMOS
JUBILEE,2024,2024-08-08,Tullow Ghana Limited & PetroSA,955383.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-08-17,Kosmos Energy Ghana Investments,953730.0,KOSMOS INVESTMENTS,KOSMOS
JUBILEE,2024,2024-08-29,GNPC,954390.0,GNPC,GNPC AND STATE
JUBILEE,2024,2024-09-08,Tullow Ghana Limited & PetroSA,953778.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-09-20,Kosmos Energy Ghana HC,955309.0,KOSMOS HC,KOSMOS
JUBILEE,2024,2024-10-01,Tullow Ghana Limited & PetroSA,956027.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-10-13,KOSMOS ENERGY GHANA INVESTMENTS,953663.0,KOSMOS INVESTMENTS,KOSMOS
JUBILEE,2024,2024-10-24,GNPC,951852.0,GNPC,GNPC AND STATE
JUBILEE,2024,2024-11-05,Tullow Ghana Limited & PetroSA,953698.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-11-18,Kosmos Energy Ghana HC,956055.0,KOSMOS HC,KOSMOS
JUBILEE,2024,2024-11-28,Tullow Ghana Limited & PetroSA,951636.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2024,2024-12-10,GNPC Exploration & Production Company Limited,957376.0,GNPC EXPLORCO,GNPC AND STATE
JUBILEE,2024,2024-12-23,Kosmos Energy Ghana HC,957611.0,KOSMOS HC,KOSMOS
TEN,2024,2024-02-26,Tullow Ghana Limited & PetroSA,993454.0,TULLOW AND PETROSA,TULLOW AND PETROSA
TEN,2024,2024-05-04,Tullow Ghana Limited & PetroSA,994245.0,TULLOW AND PETROSA,TULLOW AND PETROSA
TEN,2024,2024-06-08,Kosmos Energy Ghana HC,994573.0,KOSMOS HC,KOSMOS
TEN,2024,2024-07-23,Tullow Ghana Limited & PetroSA,993549.0,TULLOW AND PETROSA,TULLOW AND PETROSA
TEN,2024,2024-09-24,GNPC,994698.0,GNPC,GNPC AND STATE
TEN,2024,2024-11-11,Tullow Ghana Limited & PetroSA,633458.0,TULLOW AND PETROSA,TULLOW AND PETROSA
TEN,2024,2024-12-14,Tullow Ghana Limited & PetroSA,1003232.0,TULLOW AND PETROSA,TULLOW AND PETROSA
OCTP,2024,2024-01-13,Vitol Upstream Ghana Limited,949928.0,VITOL,VITOL
OCTP,2024,2024-02-18,ENI Ghana E&P Ltd.,949177.0,ENI,ENI
OCTP,2024,2024-03-23,GNPC,905434.0,GNPC,GNPC AND STATE
OCTP,2024,2024-04-26,Vitol Upstream Ghana Limited,951312.0,VITOL,VITOL
OCTP,2024,2024-05-26,ENI Ghana E&P Ltd.,905827.0,ENI,ENI
OCTP,2024,2024-07-21,ENI Ghana E&P Ltd.,996829.0,ENI,ENI
OCTP,2024,2024-08-13,Vitol Upstream Ghana Limited,949547.0,VITOL,VITOL
OCTP,2024,2024-09-23,GNPC,929365.0,GNPC,GNPC AND STATE
OCTP,2024,2024-10-28,ENI GHANA E&P LTD,949351.0,ENI,ENI
OCTP,2024,2024-12-04,VITOL UPSTREAM GHANA LTD,939178.01,VITOL,VITOL
JUBILEE,2026,2026-01-13,KOSMOS  ENERGY GHANA INVESTMENTS,906273.0,KOSMOS INVESTMENTS,KOSMOS
JUBILEE,2026,2026-01-26,TULLOW GHANA  LIMITED & PETROSA GHANA LIMITED,956020.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2026,2026-02-08,KOSMOS ENERGY  GHANA INVESTMENTS,954540.0,KOSMOS INVESTMENTS,KOSMOS
JUBILEE,2026,2026-02-21,GHANA NATIONAL  PETROLEUM CORPORATION,954677.0,GNPC,GNPC AND STATE
JUBILEE,2026,2026-03-06,TULLOW GHANA  LIMITED & PETROSA GHANA LIMITED,952567.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2026,2026-03-20,KOSMOS ENERGY  GHANA HC,956410.0,KOSMOS HC,KOSMOS
JUBILEE,2026,2026-04-02,TULLOW GHANA  LIMITED & PETROSA GHANA LIMITED,955037.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2026,2026-04-16,KOSMOS ENERGY  GHANA HC,953307.0,KOSMOS HC,KOSMOS
JUBILEE,2026,2026-04-30,GHANA NATIONAL  PETROLEUM CORPORATION,957054.0,GNPC,GNPC AND STATE
JUBILEE,2026,2026-05-12,TULLOW GHANA  LIMITED & PETROSA GHANA LIMITED,915226.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2026,2026-05-26,KOSMOS ENERGY  GHANA HC,956001.0,KOSMOS HC,KOSMOS
JUBILEE,2026,2026-06-09,TULLOW GHANA  LIMITED & PETROSA GHANA LIMITED,952922.0,TULLOW AND PETROSA,TULLOW AND PETROSA
JUBILEE,2026,2026-06-24,GNPC EXPLORATION  & PRODUCTION COMPANY LTD.,952170.0,GNPC EXPLORCO,GNPC AND STATE
TEN,2026,2026-02-16,TULLOW GHANA  LIMITED & PETROSA GHANA LIMITED,995253.0,TULLOW AND PETROSA,TULLOW AND PETROSA
