operator,logo,contract_area,area_text,effective_date,location,status_text,stage,agreement_age_yrs,area_sq_km
Tullow Ghana,tullow.png,DEEPWATER TANO,Jubilee Field: 61 TEN Dev. Area: 450 Wawa Disc. Area: 106,2006-07-19,Offshore Tano Cape Three Points Basin,Production · Production from Jubilee Field · Production from TEN Field,Production,20.2,617.0
Kosmos Energy Ghana,kosmos.jpg,WEST CAPE THREE POINTS,Jubilee: 48 MTA: 416,2004-07-13,Offshore Tano Cape Three Points Basin,Production · Production from Jubilee Field · Production from TEN Field,Production,22.2,464.0
Eni Ghana,eni.png,OFFSHORE CAPE THREE POINTS,693,2008-03-15,Offshore Tano Cape Three Points Basin,Production · Production from Sankofa Field · Production from Gye Nyame Field,Production,18.5,693.0
Eni Ghana,eni.png,CAPE THREE POINTS BLOCK 4,"1,127",2016-04-14,Offshore Tano Cape Three Point Basin,Exploration · Seismic Data acquisition and processing complete · Drilling of two (2) obligatory wells complete (Akoma-1X/Eban-1x) · Appraisal of Akoma-1X/Eban-1X wells complete,Exploration,10.4,1127.0
Pecan Energies,pecan.png,DEEPWATER TANO-CAPE THREE POINTS,"2,010",2006-07-19,Offshore Tano Cape Three Points Basin,Pre-Development,Pre-Development,20.2,2010.0
Planet One Oil and Energy,planet.jpg,DEEPWATER CAPE THREE POINT,"1,474",2018-11-28,Offshore Tano Cape Three Points Basin,Exploration · Licensing of Seismic Data Complete · G&G Studies 95% complete · Drilling of one (1) obligatory well expected Q4 2026,Exploration,7.8,1474.0
Base Energy,base.png,EXPANDED SHALLOW WATER TANO,"1,508",2015-01-23,Offshore Tano Cape Three Points Basin,Exploration · G & G Studies,Exploration,11.7,1508.0
Amni International,amni.jpg,CENTRAL TANO,278,2014-03-27,Offshore Tano Cape Three Points Basin,Exploration · Licensing of Seismic Data Complete · Drilling of one (1) obligatory well,Exploration,12.5,278.0
Eco Atlantic,eco.jpg,DEEPWATER CAPE THREE POINTS WEST,944,2014-02-22,Offshore Tano Cape Three Points Basin,Exploration · Licensing of Seismic Data Complete · Drilling of one (1) obligatory well,Exploration,12.6,944.0
CHECK opco,opco.png,EAST KETA,"2,239",2014-07-17,Offshore Keta Basin,License on hold (Force majeure),License on hold (Force majeure),12.2,2239.0
CHECK opco,opco.png,OFFSHORE SOUTHWEST TANO,175,2015-02-05,Offshore Tano Cape Three Points Basin,Exploration · Drilling of one (1) obligatory well,Exploration,11.6,175.0
Medea Development,medea.png,EAST CAPE THREE POINTS,"1,565",2013-04-12,Straddles Offshore Tano Cape Three Points and Saltpond Basins,Exploration · Seismic Data acquisition and processing complete · Drilling of one (1) obligatory well,Exploration,13.5,1565.0
Springfield E&P,springfield.png,WEST CAPE THREE POINT BLOCK 2,673,2016-07-26,Offshore Tano Cape Three Point Basin,Exploration · Seismic Data acquisition and processing complete · Drilling of one (1) obligatory well complete (Afina-1X) · Appraisal of Afina-1X complete,Exploration,10.2,673.0
CHECK ghana,ghana.png,GHANA WESTERN BASIN BLOCK 01,"1,883.75",2025-11-11,Offshore Tano Cape Three Point Basin,Exploration · Acquire 3D Seismic Data · G & G Studies · Drilling of one (1) obligatory well,Exploration,0.9,1883.75
