group,permits,first_year,last_year,active_now
KOSMOS,18,2013.0,2026.0,4
ENI,27,2013.0,2026.0,3
AMNI,20,2014.0,2025.0,2
VITOL,17,2016.0,2026.0,2
PETROSA,11,2014.0,2025.0,2
GNPC,7,2024.0,2025.0,2
PECAN,4,2024.0,2026.0,2
LUKOIL,13,2013.0,2026.0,1
HERITAGE,11,2014.0,2025.0,1
WOODFIELDS,9,2017.0,2026.0,1
FT EXPLORATION,7,2019.0,2026.0,1
GOIL,6,2020.0,2026.0,1
TULLOW,31,2013.0,2026.0,0
AKER,12,2018.0,2023.0,0
BASE ENERGY,12,2015.0,2023.0,0
SPRINGFIELD,10,2015.0,2019.0,0
A-Z,9,2015.0,2023.0,0
ECO ATLANTIC,8,2015.0,2019.0,0
BLUE STAR,7,2014.0,2020.0,0
HESS,6,2013.0,2018.0,0
MEDEA,6,2014.0,2018.0,0
EXXONMOBIL,4,2019.0,2020.0,0
COLA,3,2019.0,2021.0,0
PETROGULF,2,2018.0,2019.0,0
CAMAC,1,2015.0,2015.0,0
