row_id,contractor,permit_type,block,permit_no,start_date_raw,end_date_raw,purpose,start_date,end_date,duration_days,flag_missing_start,flag_missing_end,flag_bad_format,flag_end_before_start,flag_dup_permit_no,active_today,start_filled,date_corrected,permit_type_std,group
1,Tullow Ghana Limited,Registration Permit,West Cape Three Points,PC/000057/A/04-13,02/04/2013,01/04/2014,Permit to undertake Exploration and Development and Production,2013-04-02,2014-04-01,364.0,False,False,False,False,True,False,False,False,Registration Permit,TULLOW
2,Kosmos Energy Ghana HC,Registration Permit,West Cape Three Points,PC/000066/A/04-13,10/04/2013,09/04/2014,Permit to undertake Exploration and Development and Production,2013-04-10,2014-04-09,364.0,False,False,False,False,True,False,False,False,Registration Permit,KOSMOS
3,Tullow Ghana Limited,Registration Permit,West Cape Three Points,PC/001037/A/04-14R,02/04/2014,01/04/2015,Permit to undertake Exploration and Development and Production,2014-04-02,2015-04-01,364.0,False,False,False,False,True,False,False,False,Registration Permit,TULLOW
4,PetroSA Ghana Limited,Exploration & Production Permit,West Cape Three Points,PC/003/E&P/12-14,10/12/2014,09/12/2015,Permit to undertake Exploration and Development and Production,2014-12-10,2015-12-09,364.0,False,False,False,False,True,False,False,False,Exploration and Production Permit,PETROSA
5,Kosmos Energy Ghana HC,Registration Permit,West Cape Three Points,PC/0010066/A/04-14R,,09/04/2015,Permit to undertake Exploration and Development and Production,2014-04-10,2015-04-09,364.0,True,False,False,False,True,False,True,False,Registration Permit,KOSMOS
6,Tullow Ghana Limited,Exploration & Production Permit,West Cape Three Points,PC/009/E&P/04-15R,02/04/2015,01/04/2016,Permit to undertake Exploration and Development and Production,2015-04-02,2016-04-01,365.0,False,False,False,False,True,False,False,False,Exploration and Production Permit,TULLOW
7,Kosmos Energy Ghana HC,Exploration & Production Permit,West Cape Three Points,PC/013/E&P/04-15R,10/04/2025,09/04/2016,Permit to undertake Exploration and Development and Production,2015-04-10,2016-04-09,365.0,False,False,False,True,True,False,False,True,Exploration and Production Permit,KOSMOS
8,PetroSA Ghana Limited,Exploration & Production Permit,West Cape Three Points,PC/017/E&P/12-15R,10/12/2015,09/12/2016,Permit to undertake Exploration and Development and Production,2015-12-10,2016-12-09,365.0,False,False,False,False,True,False,False,False,Exploration and Production Permit,PETROSA
9,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000005/04-16R,10/04/2016,09/04/2017,As a Contractor Party to Petroleum Agreements in respect of the West Cape Three Points and Deep Water Tano Contract Areas,2016-04-10,2017-04-09,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,KOSMOS
10,Tullow Ghana Limited,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000006/04-16R,02/04/2016,01/04/2017,As a Contractor Party to Petroleum Agreements in respect of the West Cape Three Points and Deep Water Tano Contract Areas,2016-04-02,2017-04-01,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,TULLOW
11,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000009/12-16R,10/12/2016,09/12/2017,As a Contractor Party to Petroleum Agreements in respect of the West Cape Three Points and Deep Water Tano Contract Areas,2016-12-10,2017-12-09,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,PETROSA
12,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000018/04-18R,10/04/2018,09/04/2019,As a Contractor Party to Petroleum Agreements in respect of the West Cape Three Points and Deep Water Tano Contract Areas,2018-04-10,2019-04-09,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,KOSMOS
13,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000035/12-18R,10/12/2018,09/12/2019,As a Contractor Party to Petroleum Agreements in respect of the West Cape Three Points and Deep Water Tano Contract Areas,2018-12-10,2019-12-09,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,PETROSA
14,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000059/12-19R,10/12/2019,09/12/2020,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2019-12-10,2020-12-09,365.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,PETROSA
15,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000065/04-20R,10/04/2020,09/04/2021,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2020-04-10,2021-04-09,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,KOSMOS
16,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000078/12-20R,10/12/2020,09/12/2021,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2020-12-10,2021-12-09,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,PETROSA
17,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000085/04-21R,10/04/2021,09/04/2022,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2021-04-10,2022-04-09,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,KOSMOS
18,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000098/12-21R,10/12/2021,09/12/2022,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2021-12-10,2022-12-09,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,PETROSA
19,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000103/04-22R,10/04/2022,09/04/2023,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2022-04-10,2023-04-09,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,KOSMOS
20,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000125/12-22R,10/12/2022,09/12/2023,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2022-12-10,2023-12-09,364.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,PETROSA
21,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000130/04-23R,10/04/2023,09/04/2024,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2023-04-10,2024-04-09,365.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,KOSMOS
22,Kosmos Energy Ghana Investments,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000131/05-23,11/05/2023,10/05/2024,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2023-05-11,2024-05-10,365.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,KOSMOS
23,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000146/12-23R,10/12/2023,09/12/2024,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2023-12-10,2024-12-09,365.0,False,False,False,False,True,False,False,False,Contractor Party to Petroleum Agreement,PETROSA
24,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000154/04-24R,10/04/2024,09/04/2025,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2024-04-10,2025-04-09,364.0,False,False,False,False,False,False,False,False,Contractor Party to Petroleum Agreement,KOSMOS
25,Kosmos Energy Ghana Investments,Contractor Party to Petroleum Agreement,West Cape Three Points,PC/CPA/0000155/05-24R,11/05/2024,10/05/2025,As a Contractor Party to Petroleum Agreement in respect of the Deep Water Tano Contract Area,2024-05-11,2025-05-10,364.0,False,False,False,False,False,False,False,False,Contractor Party to Petroleum Agreement,KOSMOS
26,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,PC/DP/0000011/04-21,28/04/2021,27/10/2021,To drill JAH-P (J56-P) Well,2021-04-28,2021-10-27,182.0,False,False,False,False,False,False,False,False,Drilling Permit,TULLOW
27,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,PC/DP/0000016/04-21,26/04/2021,25/10/2021,To drill JC-WI (J55-WI) Well,2021-04-26,2021-10-25,182.0,False,False,False,False,False,False,False,False,Drilling Permit,TULLOW
28,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,PC/DP/0000013/07-21,21/07/2021,20/01/2022,To drill JAH-P (J57-P) Well,2021-07-21,2022-01-20,183.0,False,False,False,False,True,False,False,False,Drilling Permit,TULLOW
29,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,PC/DP/0000015/11-21,22/11/2021,21/05/2022,To drill J12 WI Well Intervention,2021-11-22,2022-05-21,180.0,False,False,False,False,False,False,False,False,Drilling Permit,TULLOW
30,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,PC/DP/0000017/12-21,09/12/2021,08/06/2022,To drill JAJ-WI (J58-WI) Well,2021-12-09,2022-06-08,181.0,False,False,False,False,False,False,False,False,Drilling Permit,TULLOW
