permit_no,contractor,permit_type,blocks,n_blocks,start_date,end_date,permit_type_std,group
PC/000056/A/02-13,Eni Ghana Exploration and Production Limited,Registration Permit,Offshore Cape Three Points,1,2013-03-13,2014-03-12,Registration Permit,ENI
PC/000057/A/04-13,Tullow Ghana Limited,Registration Permit,Deepwater Tano; West Cape Three Points,2,2013-04-02,2014-04-01,Registration Permit,TULLOW
PC/000066/A/04-13,Kosmos Energy Ghana HC,Registration Permit,Deepwater Tano; West Cape Three Points,2,2013-04-10,2014-04-09,Registration Permit,KOSMOS
PC/000078/A/0513,Hess Ghana Exploration Limited,Registration Permit,Deepwater Tano / Cape 3 Points,1,2013-05-13,2014-05-12,Registration Permit,HESS
PC/000086/A/0513,Lukoil Overseas Gh Ltd,Registration Permit,Deepwater Tano / Cape 3 Points,1,2013-05-24,2014-05-23,Registration Permit,LUKOIL
PC/000127/A/0514R,Hess Ghana Exploration Limited,Registration Permit,Deepwater Tano / Cape 3 Points,1,2014-05-13,2015-05-12,Registration Permit,HESS
PC/000213/A/06-14,Medea Development Limited,Registration Permit,East Cape Three Points,1,2014-06-05,2015-06-04,Registration Permit,MEDEA
PC/000237/A/08-14,Blue Star Exploration Ghana Limited,Registration Permit,East Keta Offshore; Offshore South West Tano,2,2014-08-21,2015-08-20,Registration Permit,BLUE STAR
PC/000264/A/10-14,Amni International Petroleum Development Company Limited,Registration Permit,Central Tano Block,1,2014-10-21,2015-10-20,Registration Permit,AMNI
PC/0010066/A/04-14R,Kosmos Energy Ghana HC,Registration Permit,Deepwater Tano; West Cape Three Points,2,2014-04-10,2015-04-09,Registration Permit,KOSMOS
PC/001031/A/02-14R,Eni Ghana Exploration and Production Limited,Registration Permit,Offshore Cape Three Points,1,2014-03-13,2015-03-12,Registration Permit,ENI
PC/001034/A/0514R,Lukoil Overseas Ghana Ltd,Registration Permit,Deepwater Tano / Cape 3 Points,1,2014-05-24,2015-05-23,Registration Permit,LUKOIL
PC/001037/A/04-14R,Tullow Ghana Limited,Registration Permit,Deepwater Tano; West Cape Three Points,2,2014-04-02,2015-04-01,Registration Permit,TULLOW
PC/002/E&P/11-14,Heritage Exploration and Production Ghana Limited,Exploration and Development Permit,East Keta Offshore; Offshore South West Tano,2,2014-11-28,2015-11-27,Exploration and Development Permit,HERITAGE
PC/003/E&P/12-14,PetroSA Ghana Limited,Exploration & Production Permit,Deepwater Tano; West Cape Three Points,2,2014-12-10,2015-12-09,Exploration and Production Permit,PETROSA
PC/004/E&P/01-15,A-Z Petroleum Products Ghana Limited,Exploration and Development Permit,Deepwater Cape Threee Point West,1,2015-01-23,2016-01-22,Exploration and Development Permit,A-Z
PC/005/E&P/03-15R,Eni Ghana Exploration and Production Limited,Exploration and Production,Offshore Cape Three Points,1,2015-03-13,2016-03-12,Exploration and Production Permit,ENI
PC/006/E&P/06-15R,Medea Development Limited,Exploration and Development Permit,East Cape Three Points,1,2015-06-05,2016-06-04,Exploration and Development Permit,MEDEA
PC/009/E&P/04-15R,Tullow Ghana Limited,Exploration & Production Permit,Deepwater Tano; West Cape Three Points,2,2015-04-02,2016-04-01,Exploration and Production Permit,TULLOW
PC/010/E&P/07-15,Springfield Exploration & Production Limited,Exploration and Development Permit,West Cape 3 Points Block 2,1,2015-07-14,2016-07-13,Exploration and Development Permit,SPRINGFIELD
PC/012/E&P/0515R,Hess Ghana Exploration Limited,Exploration and Development Permit,Deepwater Tano / Cape 3 Points,1,2015-05-13,2016-05-12,Exploration and Development Permit,HESS
PC/013/E&P/04-15R,Kosmos Energy Ghana HC,Exploration & Production Permit,Deepwater Tano; West Cape Three Points,2,2015-04-10,2016-04-09,Exploration and Production Permit,KOSMOS
PC/014/E&P/11-15,Camac Energy Ghana Limited,Exploration and Development Permit,Expanded Shallow Water Tano,1,2015-11-03,2016-11-02,Exploration and Development Permit,CAMAC
PC/015/E&P/11-15,Eco Atlantic (Ghana) Limited,Exploration and Development Permit,Deepwater Cape Threee Point West,1,2015-11-17,2016-11-16,Exploration and Development Permit,ECO ATLANTIC
PC/016/E&P/01-16,Vitol Upstream Ghana Limited,Registration Permit,Offshore Cape Three Points,1,2016-01-19,2017-01-18,Registration Permit,VITOL
PC/017/E&P/12-15R,PetroSA Ghana Limited,Exploration & Production Permit,Deepwater Tano; West Cape Three Points,2,2015-12-10,2016-12-09,Exploration and Production Permit,PETROSA
PC/018/E&P/08-15R,Blue Star Exploration Ghana Limited,Exploration and Development Permit,East Keta Offshore; Offshore South West Tano,2,2015-08-21,2016-08-20,Exploration and Development Permit,BLUE STAR
PC/019/E&P/11-15R,Heritage Exploration and Production Ghana Limited,Exploration and Development Permit,East Keta Offshore; Offshore South West Tano,2,2015-11-28,2016-11-27,Exploration and Development Permit,HERITAGE
PC/021/E&P/03-16R,Eni Ghana Exploration and Production Limited,Exploration and Production,Offshore Cape Three Points,1,2016-03-13,2017-03-12,Exploration and Production Permit,ENI
PC/024/E&P/0516R,Hess Ghana Exploration Limited,Exploration and Development Permit,Deepwater Tano / Cape 3 Points,1,2016-05-13,2017-05-12,Exploration and Development Permit,HESS
PC/027/E&P/06-16R,Medea Development Limited,Exploration and Development Permit,East Cape Three Points,1,2016-06-05,2017-06-04,Exploration and Development Permit,MEDEA
PC/028/E&P/08-16R,Blue Star Exploration Ghana Limited,Exploration and Development Permit,East Keta Offshore; Offshore South West Tano,2,2016-08-21,2017-08-20,Exploration and Development Permit,BLUE STAR
PC/029/E&P/01-17R,Vitol Upstream Ghana Limited,Registration Permit,Offshore Cape Three Points,1,2017-01-19,2018-01-18,Registration Permit,VITOL
PC/031/E&P/07-16R,Springfield Exploration & Production Limited,Exploration and Development Permit,West Cape 3 Points Block 2,1,2016-07-14,2017-07-13,Exploration and Development Permit,SPRINGFIELD
PC/032/E&P/03-17R,Eni Ghana Exploration and Production Limited,Exploration and Production,Offshore Cape Three Points,1,2017-03-13,2018-03-12,Exploration and Production Permit,ENI
PC/036/E&P/0517R,Hess Ghana Exploration Limited,Exploration and Development Permit,Deepwater Tano / Cape 3 Points,1,2017-05-13,2018-05-12,Exploration and Development Permit,HESS
PC/CPA/0000001/03-17,Woodfields Upstream Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2017-03-27,2018-03-26,Contractor Party to Petroleum Agreement,WOODFIELDS
PC/CPA/00000024/07-17R,Springfield Exploration & Production Limited,Contractor Party to Petroleum Agreement,West Cape 3 Points Block 2,1,2017-07-14,2018-07-13,Contractor Party to Petroleum Agreement,SPRINGFIELD
PC/CPA/0000004/11-16R,Heritage Exploration and Production Ghana Limited,Contractor Party to Petroleum Agreement,East Keta Offshore; Offshore South West Tano,2,2016-11-28,2017-11-27,Contractor Party to Petroleum Agreement,HERITAGE
PC/CPA/0000005/04-16R,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2016-04-10,2017-04-09,Contractor Party to Petroleum Agreement,KOSMOS
PC/CPA/0000006/04-16R,Tullow Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2016-04-02,2017-04-01,Contractor Party to Petroleum Agreement,TULLOW
PC/CPA/0000009/12-16R,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2016-12-10,2017-12-09,Contractor Party to Petroleum Agreement,PETROSA
PC/CPA/0000014/01-18,Petrogulf Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2018-05-10,2019-05-09,Contractor Party to Petroleum Agreement,PETROGULF
PC/CPA/0000015/03-18R,Eni Ghana Exploration and Production Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4; Offshore Cape Three Points,2,2018-03-13,2019-03-12,Contractor Party to Petroleum Agreement,ENI
PC/CPA/0000016/11-16R,Eco Atlantic (Ghana) Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2016-11-17,2017-11-16,Contractor Party to Petroleum Agreement,ECO ATLANTIC
PC/CPA/0000017/11-17R,Eco Atlantic (Ghana) Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2017-11-17,2018-11-16,Contractor Party to Petroleum Agreement,ECO ATLANTIC
PC/CPA/0000018/04-18R,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2018-04-10,2019-04-09,Contractor Party to Petroleum Agreement,KOSMOS
