company,page,item,scope,method,start,duration,method_std,logistics_related,dup_line,start_q,open_from_q3_2026
ENI,37,Provision of Marine Auditing Service and Marine Engineering Support,Provision of Marine Auditing Service and Marine Engineering Support,Single Source,Q1 2026,36 Months,Single or sole source,False,False,20261,False
ENI,37,"Material Handling, Shipment, Ff, Customs","Material Handling, Shipment, Ff, Customs",Competitive Tender,Q1 2026,24 Months,Competitive tender,True,False,20261,False
ENI,37,Riser Integrity Service and Monitoring,Riser Integrity Service and Monitoring,Sole sourcing,Q1 2026,36 Months,Single or sole source,False,False,20261,False
ENI,37,Inspection Maintenance Repair (IMR),Inspection Maintenance Repair (IMR),Competitive Tender,Q1 2026,24 Months,Competitive tender,False,False,20261,False
ENI,37,Provision of Coiled Tubing & Nitrogen Pumping Services & Supplies,Provision of Coiled Tubing & Nitrogen Pumping Services & Supplies,Competitive Tender,Q1 2026,24 Months,Competitive tender,False,False,20261,False
ENI,37,Subsea Landing String,Subsea Landing String,Sole sourcing,Q1 2026,12 Months,Single or sole source,False,False,20261,False
ENI,37,Provision of Environmental Services,Provision of Environmental Services,Competitive Tender,Q1 2026,24 Months,Competitive tender,False,False,20261,False
ENI,37,Provision of Oil Spill Services,Provision of Oil Spill Services,Sole sourcing,Q1 2026,36 Months,Single or sole source,False,False,20261,False
ENI,37,Provision of Geotechnical Survey Gye Nyame Field,Provision of Geotechnical Survey Gye Nyame Field,Competitive Tender,Q1 2026,12 Months,Competitive tender,False,False,20261,False
ENI,37,Marine Fleet to Support Drilling Activities (PSV),Marine Fleet to Support Drilling Activities (PSV),Competitive Tender,Q1 2026,3 Months,Competitive tender,True,False,20261,False
ENI,37,Provision of Waste Management Services,Provision of Waste Management Services,Competitive Tender,Q1 2026,36 Months,Competitive tender,False,False,20261,False
ENI,37,Supply of Subsea Production System for Gye Nyame Field,Supply of Subsea Production System for Gye Nyame Field,Single Source,Q1 2026,24 Months,Single or sole source,False,False,20261,False
ENI,37,Provision of Geophysical Survey - Gye Nyame Field,Provision of Geophysical Survey - Gye Nyame Field,Competitive Tender,Q1 2026,12 Months,Competitive tender,False,False,20261,False
ENI,37,Provision of Surf Offshore Transportation & Installation - Gye Nyame Field,Provision of Surf Offshore Transportation & Installation - Gye Nyame Field,Competitive Tender,Q1 2026,24 Months,Competitive tender,True,False,20261,False
ENI,37,Provision of Installation of Rigid Offshore Pipeline - Gye Nyame Field,Provision of Installation of Rigid Offshore Pipeline - Gye Nyame Field,Competitive Tender,Q1 2026,36 Months,Competitive tender,False,False,20261,False
ENI,37,PMESS - Gye Nyame,PMESS - Gye Nyame,Competitive Tender,Q1 2026,24 Months,Competitive tender,False,False,20261,False
TULLOW,38,Provision of OCTG,Provision of OCTG,Competitive Tender,Q4 2026,TBC,Competitive tender,False,False,20264,True
TULLOW,38,Subsea: Supply of Splitter Manifolds,Subsea: Supply of Splitter Manifolds,Competitive Tender,Q3 2026,36 Months,Competitive tender,False,False,20263,True
TULLOW,38,Subsea: Metrology & Dimensional Control Survey Services,Subsea: Metrology & Dimensional Control Survey Services,Competitive Tender,Q2 2026,36 Months,Competitive tender,False,False,20262,False
TULLOW,38,Logistics: Onshore Cranes & Forklift Services,Logistics: Onshore Cranes & Forklift Services,Competitive Tender,Q3 2026,36 Months,Competitive tender,True,False,20263,True
TULLOW,38,Operations: FPSO Offshore Manpower Services,Operations: FPSO Offshore Manpower Services,Competitive Tender,Q3 2026,36 Months,Competitive tender,False,False,20263,True
TULLOW,38,Logistics: Ports & Harbour Agency Services,Logistics: Ports & Harbour Agency Services,Competitive Tender,Q4 2026,36 Months,Competitive tender,True,True,20264,True
TULLOW,38,Chemicals (Commodity Supply),Chemicals (Commodity Supply),Competitive Tender,Q2 2026,36 Months,Competitive tender,False,True,20262,False
TULLOW,38,Pumps & Emergency Generator & HV/LV Motors,Pumps & Emergency Generator & HV/LV Motors,Competitive Tender,Q2 2026,36 Months,Competitive tender,False,True,20262,False
TULLOW,38,Offshore Catering and Hotel Services,Offshore Catering and Hotel Services,Competitive Tender,Q2 2026,36 Months,Competitive tender,False,True,20262,False
TULLOW,38,Chemicals (Speciality and Management Services),Chemicals (Speciality and Management Services),Competitive Tender,Q2 2026,36 Months,Competitive tender,False,True,20262,False
TULLOW,38,Contingent workforce and recruitment outsource services,Contingent workforce and recruitment outsource services,Competitive Tender,Q1 2027,36 Months,Competitive tender,False,True,20271,True
TULLOW,38,Subsea: Electronic Distribution Unit (EDU) Build,Subsea: Electronic Distribution Unit (EDU) Build,Competitive Tender,Q3 2026,36 Months,Competitive tender,False,False,20263,True
TULLOW,38,Logistics: Marine Warranty Surveyor,Logistics: Marine Warranty Surveyor,Competitive Tender,Q2 2026,36 Months,Competitive tender,True,False,20262,False
TULLOW,39,Safety Equipment Maintenance,Safety Equipment Maintenance,Competitive Tender,Q3 2026,36 Months,Competitive tender,False,False,20263,True
TULLOW,39,IMR support for Jubilee FPSO CALM Buoy,IMR support for Jubilee FPSO CALM Buoy,Sole sourcing,Q4 2026,36 Months,Single or sole source,False,True,20264,True
TULLOW,39,Private Medical insurance,Private Medical insurance,Competitive Tender,Q2 2026,24 Months,Competitive tender,False,True,20262,False
TULLOW,39,"Supply of hang-off system, hose string and strainer and installation services for replacement of Seawater Lift pump (SWLP)-B","Supply of hang-off system, hose string and strainer and installation services for replacement of Seawater Lift pump (SWLP)-B",Single Source,Q2 2026,9 Months,Single or sole source,False,False,20262,False
TULLOW,39,"Ops: Engineering, Fabrication & Installation Services","Ops: Engineering, Fabrication & Installation Services",Competitive Tender,Q4 2026,36 Months,Competitive tender,False,False,20264,True
TULLOW,39,"Supply of Lubricants, Greases and CALM Buoy Consumables","Supply of Lubricants, Greases and CALM Buoy Consumables",Competitive Tender,Q3 2026,36 Months,Competitive tender,False,False,20263,True
TULLOW,39,Gas Compressors,Gas Compressors,Competitive Tender,Q1 2027,36 Months,Competitive tender,False,False,20271,True
TULLOW,39,Power Generation,Power Generation,Competitive Tender,Q1 2027,36 Months,Competitive tender,False,False,20271,True
TULLOW,39,Fabric Maintenance Services & Composite Wrap,Fabric Maintenance Services & Composite Wrap,Competitive Tender,Q4 2026,36 Months,Competitive tender,False,False,20264,True
TULLOW,39,Scaffolding Services,Scaffolding Services,Competitive Tender,Q4 2026,36 Months,Competitive tender,False,False,20264,True
TULLOW,39,"Supply of hang-off system, hose string and strainer and installation services for replacement of Seawater Lift pump (SWLP)-B","Supply of hang-off system, hose string and strainer and installation services for replacement of Seawater Lift pump (SWLP)-B",Competitive Tender,Q1 2026,9 Months,Competitive tender,False,False,20261,False
OPCO,40,OCTG - LOD (>16’’),Casing &tubulars,Competitive Tender,Q1 2026,9 Month,Competitive tender,False,False,20261,False
OPCO,40,OCTG - SOD (≤16’’),Casing &tubulars,Competitive Tender,Q1 2026,9 Months,Competitive tender,False,False,20261,False
OPCO,40,Drilling Rig (MODU),Drilling Rig (MODU),Competitive Tender,Q1 2026,12 Months,Competitive tender,False,False,20261,False
OPCO,40,Mud Logging,Mud Logging,Single Source,Q1 2026,24 Months,Single or sole source,False,False,20261,False
OPCO,40,Solids Control,Cuttings & Waste handling,Single Source,Q1 2026,24 Months,Single or sole source,False,False,20261,False
OPCO,40,ROV Services,Subsea Operations support,Single Source,Q1 2026,24 Months,Single or sole source,False,False,20261,False
OPCO,40,Directional Services,Well trajectory services,Competitive Tender,Q2 2026,24 Months,Competitive tender,False,False,20262,False
OPCO,40,Drilling Services,Well Evaluation,Competitive Tender,Q2 2026,24 Months,Competitive tender,False,False,20262,False
OPCO,40,Engineering,Drilling Services,Competitive Tender,Q2 2026,24 Months,Competitive tender,False,False,20262,False
OPCO,40,Electric Logging,Wireline Logging,Competitive Tender,Q2 2026,24 Months,Competitive tender,False,False,20262,False
OPCO,40,Tubular Running Services,Tubular Running Services,Competitive Tender,Q2 2027,24 Months,Competitive tender,False,False,20272,True
OPCO,40,Fishing Services,Materials Inspection,Competitive Tender,Q2 2026,24 Months,Competitive tender,False,False,20262,False
OPCO,40,QA/QC,Casing &tubulars,Competitive Tender,Q2 2026,24 Months,Competitive tender,False,False,20262,False
OPCO,40,Float Equipment,Casing Accessories,Competitive Tender,Q2 2026,4Months,Competitive tender,False,False,20262,False
OPCO,40,Casing Accessories,Completion Components,Competitive Tender,Q2 2026,4 Months,Competitive tender,False,False,20262,False
OPCO,40,Drill Bits,Bits & Optimisation,Competitive Tender,Q2 2026,24 Months,Competitive tender,False,False,20262,False
OPCO,40,Helicopter Services,Personnel Transport,Competitive Tender,Q2 2026,24 Months,Competitive tender,True,False,20262,False
OPCO,40,Marine Vessels,PSV / AHTS Support,Competitive Tender,Q1 2027,24 Months,Competitive tender,True,False,20271,True
OPCO,40,Supply Base,Shore Base Operations,Competitive Tender,Q2 2026,24 Months,Competitive tender,False,False,20262,False
OPCO,40,Fuel,Marine &Aviation Fuel,Competitive Tender,Q2 2026,24 Months,Competitive tender,True,False,20262,False
OPCO,40,Drilling Fluids & Engineering,Fluids & Optimisation,Competitive Tender,Q2 2026,24 Months,Competitive tender,False,False,20262,False
