field,year,period,oil_bbl_d,gas_prod_mmscf_d,reinjected_mmscf_d,fuel_gas_mmscf_d,flared_mmscf_d,export_gngc_mmscf_d,export_to_ten_mmscf_d,import_from_jubilee_mmscf_d,assoc_gas_mmscf_d,nonassoc_gas_mmscf_d,sales_gas_mmscf_d,shutdown_flag,month,days_in_month,oil_bbl_month
JUBILEE,2025,"January, 2025",77356.48387096774,206.70741935483872,60.516451612903225,11.910967741935485,33.920967741935485,100.35903225806452,0.0,,,,,False,2025-01-01,31,2398051.0
JUBILEE,2025,"February, 2025",74121.60714285714,199.3489285714286,74.72785714285715,10.383214285714287,35.36035714285715,78.87750000000001,0.0,,,,,False,2025-02-01,28,2075405.0
JUBILEE,2025,"*March, 2025",49026.645161290326,137.6141935483871,29.65,7.28258064516129,36.494516129032256,64.18677419354839,0.0,,,,,True,2025-03-01,31,1519826.0
JUBILEE,2025,"*April, 2025",42395.7,136.51833333333335,35.492666666666665,6.974666666666667,28.092333333333332,60.273,5.685666666666666,,,,,True,2025-04-01,30,1271871.0
JUBILEE,2025,"May, 2025",61134.354838709674,207.2606451612903,72.67645161290322,12.271290322580645,34.64129032258065,86.67967741935485,0.0,,,,,False,2025-05-01,31,1895165.0
JUBILEE,2025,"June, 2025",62101.7,223.0256666666667,73.278,10.514333333333333,35.538333333333334,103.695,0.0,,,,,False,2025-06-01,30,1863051.0
JUBILEE,2025,"July, 2025",60958.290322580644,229.66935483870967,73.77032258064517,12.485806451612904,30.24225806451613,106.21709677419355,0.0,,,,,False,2025-07-01,31,1889707.0
JUBILEE,2025,"August, 2025",63609.096774193546,234.9416129032258,142.98129032258063,13.378387096774194,21.4941935483871,52.5516129032258,0.0,,,,,False,2025-08-01,31,1971882.0
JUBILEE,2025,"September, 2025",62908.166666666664,236.92033333333333,114.28066666666668,13.061666666666667,17.250666666666667,83.909,8.418333333333333,,,,,False,2025-09-01,30,1887245.0
JUBILEE,2025,"October, 2025",60049.0,224.13903225806453,78.7658064516129,12.944193548387096,14.665806451612903,108.47548387096774,9.287741935483872,,,,,False,2025-10-01,31,1861519.0
JUBILEE,2025,"November, 2025",60270.96666666667,210.11,66.47266666666667,13.525,14.526,108.881,6.705666666666667,,,,,False,2025-11-01,30,1808129.0
JUBILEE,2025,"December, 2025",57099.903225806454,196.33870967741936,72.68967741935484,13.264516129032257,11.679032258064517,98.7058064516129,0.0,,,,,False,2025-12-01,31,1770097.0
TEN,2025,"January, 2025",17165.41935483871,159.4564516129032,134.6822580645161,10.17451612903226,14.600000000000001,0.0,,0.0,,,,False,2025-01-01,31,532128.0
TEN,2025,"February, 2025",17087.10714285714,158.37071428571429,132.11714285714285,10.299285714285714,15.489285714285714,0.46499999999999997,,0.0,,,,False,2025-02-01,28,478438.99999999994
TEN,2025,"March, 2025",16475.0,158.04741935483872,95.55322580645162,10.215483870967741,14.962580645161289,37.31612903225806,,0.0,,,,False,2025-03-01,31,510725.0
TEN,2025,"April, 2025",16714.566666666666,157.139,99.904,9.692333333333332,15.051666666666668,38.17666666666666,,5.685666666666666,,,,False,2025-04-01,30,501437.0
TEN,2025,"May, 2025",14573.161290322581,134.99645161290323,111.05225806451612,8.096774193548388,12.771290322580645,3.0761290322580646,,0.0,,,,False,2025-05-01,31,451768.0
